graph_id,family,num_nodes,num_edges,method,k,num_physical_qubits,compression_ratio,density,degree_min,degree_max,degree_mean,degree_std,avg_clustering,transitivity,num_components,largest_component_size,component_size_ratio,algebraic_connectivity,optimal_energy,approximation_ratio,gradient_norm_at_opt,success,convergence_iters,duration_seconds,nfeval,pauli_x_count,pauli_y_count,pauli_z_count,pauli_i_count,pauli_total_ops,pauli_x_frac,pauli_y_frac,pauli_z_frac,pauli_avg_non_id_per_var,pauli_max_non_id_per_var,pauli_num_pauli_strings,llm_tags,llm_model,llm_reasoning
bipartite_12_0,bipartite,12,21,baseline_qaoa,,12,1.0,0.318182,1,5,3.5,1.118,0.0,0.0,1,12,1.0,0.325857,-2.4932250565259526,0.577913,0.002795,True,,0.4423,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_0,bipartite,12,21,pce_baseline_k1,1.0,4,3.0,0.318182,1,5,3.5,1.118,0.0,0.0,1,12,1.0,0.325857,-1.328749475911669,0.541523,0.003283,True,,0.8372,62,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_0,bipartite,12,21,pce_baseline_k2,2.0,3,4.0,0.318182,1,5,3.5,1.118,0.0,0.0,1,12,1.0,0.325857,-4.384238694486992,0.637007,0.011612,True,,0.5896,47,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_0,bipartite,12,21,llm_pce,2.0,6,2.0,0.318182,1,5,3.5,1.118,0.0,0.0,1,12,1.0,0.325857,0.433824990199442,0.489671,0.000897,True,,,42,8,8,8,48,72,0.1111,0.1111,0.1111,2.0,2,12,low_order_sufficient,Qwen/Qwen2.5-32B-Instruct,"The graph is bipartite with moderate density and degree, making k=2 suitable for efficient encoding while avoiding barren plateaus."
bipartite_12_1,bipartite,12,14,baseline_qaoa,,12,1.0,0.212121,0,4,2.3333,1.1785,0.0,0.0,2,11,0.916667,0.0,-2.877112808240162,0.602754,0.006968,True,,0.4206,34,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_1,bipartite,12,14,pce_baseline_k1,1.0,4,3.0,0.212121,0,4,2.3333,1.1785,0.0,0.0,2,11,0.916667,0.0,-0.8313769992820709,0.529692,0.002894,True,,0.5825,42,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_1,bipartite,12,14,pce_baseline_k2,2.0,3,4.0,0.212121,0,4,2.3333,1.1785,0.0,0.0,2,11,0.916667,0.0,-1.7446580332204884,0.562309,0.004062,True,,0.4816,44,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_1,bipartite,12,14,llm_pce,2.0,6,2.0,0.212121,0,4,2.3333,1.1785,0.0,0.0,2,11,0.916667,0.0,-2.3215984247448156,0.582914,0.013703,True,,,33,7,9,8,48,72,0.0972,0.125,0.1111,2.0,2,12,low_order_sufficient,Qwen/Qwen2.5-32B-Instruct,"The graph is bipartite with low density and small size, making k=2 sufficient for efficient encoding while avoiding barren plateaus."
bipartite_12_2,bipartite,12,23,baseline_qaoa,,12,1.0,0.348485,2,6,3.8333,1.3437,0.0,0.0,1,12,1.0,0.369631,-4.816943133375574,0.604716,0.01198,True,,0.5967,35,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_2,bipartite,12,23,pce_baseline_k1,1.0,4,3.0,0.348485,2,6,3.8333,1.3437,0.0,0.0,1,12,1.0,0.369631,-1.6124091156162328,0.535052,0.007079,True,,0.9648,69,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_2,bipartite,12,23,pce_baseline_k2,2.0,3,4.0,0.348485,2,6,3.8333,1.3437,0.0,0.0,1,12,1.0,0.369631,-1.5885449973633325,0.534534,0.002861,True,,0.7254,66,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_2,bipartite,12,23,llm_pce,2.0,6,2.0,0.348485,2,6,3.8333,1.3437,0.0,0.0,1,12,1.0,0.369631,-0.8271990173093685,0.517983,0.003145,True,,,48,10,7,7,48,72,0.1389,0.0972,0.0972,2.0,2,12,low_order_sufficient,Qwen/Qwen2.5-32B-Instruct,The graph is bipartite with moderate density and average degree. Using k=2 allows efficient compression while maintaining diversity in Pauli assignments.
bipartite_12_3,bipartite,12,17,baseline_qaoa,,12,1.0,0.257576,1,4,2.8333,0.986,0.0,0.0,1,12,1.0,0.230724,-4.653314725681013,0.636862,0.004256,True,,0.5973,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_3,bipartite,12,17,pce_baseline_k1,1.0,4,3.0,0.257576,1,4,2.8333,0.986,0.0,0.0,1,12,1.0,0.230724,-0.16543036159901753,0.504866,0.001173,True,,0.8001,47,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_3,bipartite,12,17,pce_baseline_k2,2.0,3,4.0,0.257576,1,4,2.8333,0.986,0.0,0.0,1,12,1.0,0.230724,-2.8874851691808976,0.584926,0.004106,True,,0.7753,73,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_3,bipartite,12,17,llm_pce,2.0,6,2.0,0.257576,1,4,2.8333,0.986,0.0,0.0,1,12,1.0,0.230724,0.9472341655334973,0.47214,0.002526,True,,,34,8,8,8,48,72,0.1111,0.1111,0.1111,2.0,2,12,low_order_sufficient,Qwen/Qwen2.5-32B-Instruct,"The graph is bipartite with low density and average degree, making k=2 suitable for efficient encoding while avoiding barren plateaus."
bipartite_12_4,bipartite,12,16,baseline_qaoa,,12,1.0,0.242424,1,5,2.6667,1.3123,0.0,0.0,1,12,1.0,0.369065,-2.4932250565259526,0.577913,0.002795,True,,0.5248,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_4,bipartite,12,16,pce_baseline_k1,1.0,4,3.0,0.242424,1,5,2.6667,1.3123,0.0,0.0,1,12,1.0,0.369065,-1.328749475911669,0.541523,0.003283,True,,1.0045,62,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_4,bipartite,12,16,pce_baseline_k2,2.0,3,4.0,0.242424,1,5,2.6667,1.3123,0.0,0.0,1,12,1.0,0.369065,-4.384238694486992,0.637007,0.011612,True,,0.5054,47,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
bipartite_12_4,bipartite,12,16,llm_pce,2.0,6,2.0,0.242424,1,5,2.6667,1.3123,0.0,0.0,1,12,1.0,0.369065,-0.5852082118203888,0.518288,0.003013,True,,,40,13,7,7,45,72,0.1806,0.0972,0.0972,2.25,3,12,low_order_sufficient,Qwen/Qwen2.5-32B-Instruct,"The graph is bipartite with low density and average degree, making k=2 suitable for efficient encoding without significant gradient risk."
